Date,open,high,low,close,volume
2018-01-25 01:00:00,11347.13012,11357.942000000001,11271.281420000001,11285.357440000002,141.14517299
2018-01-25 07:30:00,11473.06596,11533.918,11430.77366,11474.294019999998,153.5895014
2018-01-25 08:00:00,11483.506019999999,11551.706283115998,11432.96,11442.604040000002,130.17396036
2018-01-25 08:30:00,11446.16804,11467.742,11287.25808,11335.55172,182.079494082
2018-01-25 09:00:00,11346.89574,11372.626,11278.8596,11291.14562,164.262173136
2018-01-25 09:30:00,11284.641599999999,11289.22962,11179.982337309999,11230.91288,183.387173695
2018-01-25 10:00:00,11244.49185715,11368.63508,11233.53185715,11345.49798,127.48937516
2018-01-25 10:30:00,11349.82198,11430.77,11317.42594,11405.809980000002,136.65868761
2018-01-25 11:00:00,11406.423999999999,11411.97998,11307.784,11355.790560000001,110.14987921
2018-01-25 11:30:00,11363.29248,11406.156919122,11324.308,11353.66002,143.509855844
2018-01-25 12:00:00,11352.92686,11365.98996,11205.16606,11232.07,196.254741828
2018-01-25 12:30:00,11192.36786,11246.12802,11111.50616,11180.35336,323.833194438
2018-01-25 13:00:00,11173.328080000001,11193.5861,11060.5569,11092.803054968,186.016346622
2018-01-25 17:00:00,11136.208300000002,11176.420258606,10940.52346,10955.0958,157.418563401
2018-01-25 17:30:00,10965.610920000001,11031.98938,10943.92782,10999.70034,143.16
2018-01-25 18:00:00,11005.344519999999,11049.21198,10964.94174,11046.201980000002,126.19814529
2018-01-25 18:30:00,11063.1448,11222.408728108001,11060.69078,11197.190059999999,141.78529321
2018-01-25 19:00:00,11199.38206,11281.16398,11158.868480000001,11255.614920000002,111.74952178
2018-01-25 19:30:00,11273.5862,11293.47622,11192.32002,11227.43,91.85
2018-01-25 20:00:00,11228.09402,11257.263580000003,11181.947680000001,11222.9673,90.99
2018-01-25 20:30:00,11223.53938,11318.10198,11196.34854,11306.217980000001,108.91
2018-01-25 21:00:00,11307.499960000001,11369.8904,11255.24066,11259.94602,96.17323295
2018-01-25 21:30:00,11267.294420000002,11332.510180000001,11169.988019999999,11174.928039999999,120.26
2018-01-25 22:00:00,11173.27004,11266.99794,11152.57604,11249.71676,165.59
2018-01-25 22:30:00,11250.39964,11315.718859999999,11231.931639999999,11269.393119999999,101.45165595
2018-01-25 23:00:00,11265.690899999998,11270.39,11167.38262,11175.75592,89.6735904
2018-01-25 23:30:00,11178.73424,11215.29198,11118.712,11168.93396,118.13
2018-01-26 00:00:00,11169.26598,11214.525084523999,11095.9223,11170.3265,123.57
2018-01-26 00:30:00,11169.51802,11258.06516,11153.63802,11237.025160000001,160.98536784
2018-01-26 01:00:00,11237.68314,11414.756660000001,11232.84314,11390.432060000001,148.27971567
2018-01-26 01:30:00,11387.01204,11412.08992,11295.93794,11356.08178,218.374710174
2018-01-26 02:00:00,11355.42378,11362.14212,11249.538999628,11288.000320000001,268.75494018
2018-01-26 02:30:00,11302.83788,11582.641999999998,11299.66188,11509.728939999999,568.133954992
2018-01-26 03:00:00,11505.49294,11658.63738,11478.04928,11604.1499,352.152715637
2018-01-26 03:30:00,11603.3879,11605.5759,11486.43762,11534.595980000002,237.940658068
2018-01-26 04:00:00,11531.94282,11544.3287,11466.485680000002,11524.9198,164.78960965
2018-01-26 04:30:00,11524.69978,11564.56078,11419.36608,11442.8341,201.114026721
2018-01-26 05:00:00,11441.900946376001,11493.70514,11392.1283,11463.382000000001,199.628384874
2018-01-26 05:30:00,11460.81802,11483.089619999999,11374.352,11399.10074,211.707662
2018-01-26 06:00:00,11399.80874,11444.779439999998,11357.23816,11369.298019999998,172.646805391
2018-01-26 06:30:00,11366.176019999999,11389.848820000001,11320.952940000001,11380.83434,229.605525422
2018-01-26 07:00:00,11381.0189,11444.56198,11342.43234,11384.814300000002,268.933100312
2018-01-26 07:30:00,11378.68402,11381.10398,11213.74362,11258.049920000001,340.85598459
2018-01-26 08:00:00,11253.17002,11264.498,11021.4254,11023.97078,521.197800888
2018-01-26 08:30:00,11024.710500000001,11033.5485,10566.67744,10602.23,937.407416895
2018-01-26 09:00:00,10593.51108,10819.1715,10470.87694,10772.073699999999,882.791246744
2018-01-26 09:30:00,10764.057799999999,10781.7962,10502.0495,10584.67998,581.642069583
2018-01-26 10:00:00,10571.26404,10578.630975142001,10313.57846,10463.65352,665.026376945
2018-01-26 10:30:00,10470.980019999999,10567.871219999999,10379.662187573998,10518.70839693,473.182538759
2018-01-26 11:00:00,10509.752100000002,10649.0375,10482.05032,10537.71962,356.417737312
2018-01-26 11:30:00,10525.50762,10557.85046,10434.36412,10477.48392,212.265009345
2018-01-26 12:00:00,10477.7879,10564.94088,10399.58372,10527.742040000001,205.57874685
2018-01-26 12:30:00,10525.85604,10530.160039999999,10413.21894,10510.54356,249.55587191
2018-01-26 13:00:00,10513.457980000001,10709.85,10481.76678,10642.85152,297.240109323
2018-01-26 13:30:00,10648.39994,10779.239980000002,10591.92416,10614.214600000001,249.934657128
2018-01-26 14:00:00,10621.57964,10690.73112,10519.122,10534.38462,248.676727347
2018-01-26 14:30:00,10547.834299999999,10685.99988,10529.03002,10667.52378,347.983169854
2018-01-26 15:00:00,10667.658099999999,10804.591980000001,10663.53088,10796.05398,347.532351526
2018-01-26 15:30:00,10793.81998,11009.16198,10769.36418,10905.602040000002,478.998088463
2018-01-26 16:00:00,10906.58204,11061.0135,10854.15032,11050.425500000001,436.254333744
2018-01-26 16:30:00,11089.383980000002,11273.3742,11023.98802,11179.945940000001,399.136967177
2018-01-26 17:00:00,11173.981271355999,11183.26404,11034.304,11068.25682,182.604976533
2018-01-26 17:30:00,11069.198840000001,11090.37442,10966.968,10994.902,160.53683681
